bairro_group,bairro,room_type,price,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365
Brooklyn,Greenpoint,Entire home/apt,285.0,3.0,124.0,1.22,3.0,279.0
Queens,Astoria,Entire home/apt,99.0,5.0,78.0,4.5,1.0,226.0
Brooklyn,Crown Heights,Private room,110.0,6.0,50.0,3.55,1.0,168.0
Manhattan,Upper West Side,Entire home/apt,115.0,2.0,78.0,2.1,1.0,261.0
Manhattan,Harlem,Entire home/apt,135.0,6.0,78.0,1.87,1.0,189.0
Brooklyn,Park Slope,Entire home/apt,150.0,2.0,78.0,2.08,2.0,263.0
Brooklyn,Carroll Gardens,Entire home/apt,250.0,2.0,106.0,1.34,3.0,272.0
Manhattan,Inwood,Private room,90.0,2.0,120.0,1.27,1.0,132.0
Queens,Astoria,Entire home/apt,115.0,2.0,78.0,2.01,1.0,257.0
Manhattan,Lower East Side,Entire home/apt,150.0,3.0,78.0,2.81,1.0,191.0
Brooklyn,South Slope,Entire home/apt,169.0,2.0,78.0,3.97,3.0,182.0
Manhattan,East Village,Private room,71.0,2.0,78.0,1.81,1.0,200.0
Manhattan,East Village,Entire home/apt,169.0,4.0,78.0,2.4,1.0,276.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,185.0,3.0,46.0,1.07,1.0,248.0
Brooklyn,Bushwick,Entire home/apt,65.0,2.0,78.0,2.27,1.0,194.0
Manhattan,East Village,Entire home/apt,139.0,1.0,78.0,3.88,1.0,142.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,175.0,2.0,78.0,3.74,1.0,204.0
Brooklyn,Crown Heights,Entire home/apt,120.0,5.0,104.0,1.04,1.0,272.0
Manhattan,East Harlem,Shared room,65.0,3.0,131.0,1.31,2.0,168.0
Manhattan,Harlem,Private room,60.0,3.0,78.0,3.83,2.0,247.0
Brooklyn,Greenpoint,Entire home/apt,175.0,3.0,78.0,2.53,3.0,274.0
Brooklyn,Crown Heights,Private room,55.0,2.0,78.0,2.51,2.0,275.0
Manhattan,Hell's Kitchen,Private room,85.0,3.0,116.0,1.17,1.0,174.0
Manhattan,Harlem,Entire home/apt,99.0,1.0,78.0,3.23,1.0,220.0
Manhattan,East Village,Entire home/apt,189.0,2.0,78.0,4.1,3.0,201.0
Manhattan,Harlem,Entire home/apt,122.0,1.0,116.0,1.18,2.0,271.0
Brooklyn,Greenpoint,Entire home/apt,165.0,2.0,175.0,1.79,1.0,139.0
Queens,Forest Hills,Entire home/apt,97.0,3.0,28.0,1.21,3.0,209.0
Manhattan,Murray Hill,Private room,130.0,4.0,105.0,1.07,1.0,193.0
Brooklyn,East Flatbush,Private room,50.0,2.0,78.0,2.69,2.0,136.0
Brooklyn,Williamsburg,Entire home/apt,249.0,3.0,150.0,1.55,1.0,277.0
Brooklyn,Crown Heights,Private room,79.0,2.0,115.0,1.18,1.0,168.0
Brooklyn,Boerum Hill,Entire home/apt,120.0,3.0,78.0,2.41,1.0,221.0
Manhattan,Upper West Side,Entire home/apt,165.0,2.0,78.0,2.18,1.0,236.0
Queens,Astoria,Entire home/apt,129.0,1.0,78.0,4.34,1.0,245.0
Manhattan,Harlem,Entire home/apt,300.0,2.0,78.0,2.14,3.0,258.0
Manhattan,East Village,Private room,175.0,3.0,175.0,1.8,1.0,236.0
Brooklyn,Williamsburg,Entire home/apt,139.0,2.0,78.0,4.0,1.0,222.0
Manhattan,Chelsea,Private room,150.0,2.0,37.0,1.79,1.0,168.0
Manhattan,East Village,Entire home/apt,200.0,2.0,103.0,1.08,1.0,235.0
Manhattan,Harlem,Entire home/apt,295.0,3.0,78.0,2.33,1.0,247.0
Brooklyn,Williamsburg,Private room,89.0,3.0,78.0,2.31,3.0,168.0
Manhattan,East Village,Entire home/apt,99.0,2.0,78.0,2.92,3.0,257.0
Manhattan,Upper West Side,Entire home/apt,250.0,3.0,78.0,1.94,1.0,259.0
Brooklyn,Bushwick,Private room,60.0,3.0,78.0,3.5,1.0,168.0
Brooklyn,South Slope,Entire home/apt,105.0,3.0,101.0,1.06,1.0,167.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,75.0,2.0,87.0,1.09,1.0,168.0
Bronx,University Heights,Private room,37.0,4.0,117.0,1.21,1.0,232.0
Manhattan,Harlem,Shared room,49.0,3.0,168.0,4.6,1.0,248.0
Brooklyn,Williamsburg,Private room,75.0,4.0,80.0,1.55,1.0,168.0
Brooklyn,Park Slope,Entire home/apt,130.0,3.0,78.0,2.02,1.0,273.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,139.0,3.0,83.0,1.19,1.0,255.0
Brooklyn,Park Slope,Private room,105.0,1.0,78.0,2.21,2.0,252.0
Manhattan,Harlem,Private room,68.0,2.0,78.0,3.9,2.0,188.0
Brooklyn,Williamsburg,Private room,100.0,2.0,78.0,2.85,1.0,254.0
Manhattan,Theater District,Private room,150.0,1.0,78.0,3.5,1.0,111.0
Bronx,Concourse Village,Private room,50.0,3.0,78.0,2.7,2.0,276.0
Brooklyn,Bedford-Stuyvesant,Private room,79.0,3.0,152.0,1.6,3.0,192.0
Manhattan,Harlem,Private room,55.0,4.0,99.0,1.04,1.0,260.0
Manhattan,East Village,Entire home/apt,146.0,3.0,142.0,1.5,1.0,166.0
Brooklyn,Bedford-Stuyvesant,Private room,79.0,3.0,115.0,1.21,3.0,264.0
Brooklyn,Williamsburg,Entire home/apt,220.0,3.0,116.0,1.23,2.0,135.0
Manhattan,East Village,Entire home/apt,288.0,2.0,120.0,1.27,1.0,229.0
Manhattan,East Village,Private room,89.0,1.0,78.0,2.95,3.0,192.0
Bronx,Concourse,Private room,50.0,5.0,78.0,2.49,2.0,271.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,110.0,3.0,78.0,3.24,1.0,231.0
Manhattan,Midtown,Entire home/apt,190.0,3.0,136.0,1.45,1.0,120.0
Manhattan,Lower East Side,Entire home/apt,200.0,3.0,100.0,1.06,1.0,191.0
Brooklyn,Williamsburg,Entire home/apt,180.0,2.0,125.0,1.36,3.0,248.0
Brooklyn,Williamsburg,Entire home/apt,199.0,3.0,78.0,2.59,1.0,102.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,180.0,2.0,78.0,1.92,1.0,280.0
Manhattan,Lower East Side,Entire home/apt,154.0,1.0,78.0,2.59,1.0,246.0
Brooklyn,Williamsburg,Entire home/apt,295.0,5.0,125.0,3.04,1.0,168.0
Manhattan,Greenwich Village,Entire home/apt,169.0,3.0,107.0,1.15,1.0,249.0
Brooklyn,Williamsburg,Private room,64.0,3.0,78.0,2.65,2.0,117.0
Brooklyn,Clinton Hill,Entire home/apt,154.0,3.0,78.0,2.5,1.0,168.0
Brooklyn,Park Slope,Entire home/apt,139.0,3.0,135.0,1.45,1.0,204.0
Manhattan,Harlem,Private room,58.0,1.0,143.0,2.83,1.0,168.0
Manhattan,Upper East Side,Entire home/apt,189.0,2.0,78.0,3.45,2.0,206.0
Manhattan,West Village,Entire home/apt,300.0,4.0,153.0,1.66,2.0,246.0
Queens,Sunnyside,Private room,73.0,2.0,95.0,1.02,2.0,168.0
Manhattan,Upper West Side,Entire home/apt,225.0,2.0,129.0,1.41,1.0,107.0
Manhattan,Morningside Heights,Private room,85.0,3.0,171.0,1.84,2.0,144.0
Queens,Long Island City,Private room,96.0,2.0,78.0,2.74,1.0,270.0
Manhattan,Harlem,Private room,85.0,6.0,130.0,1.42,2.0,97.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,169.0,4.0,122.0,1.37,1.0,257.0
Manhattan,Chinatown,Entire home/apt,90.0,3.0,107.0,1.17,1.0,168.0
Brooklyn,Bedford-Stuyvesant,Private room,97.0,3.0,29.0,1.57,1.0,118.0
Manhattan,West Village,Entire home/apt,240.0,5.0,94.0,1.1,1.0,134.0
Manhattan,Harlem,Private room,75.0,2.0,101.0,1.1,1.0,168.0
Brooklyn,Cobble Hill,Entire home/apt,140.0,3.0,103.0,1.13,1.0,189.0
Manhattan,East Village,Entire home/apt,219.0,2.0,129.0,1.42,1.0,220.0
Manhattan,West Village,Entire home/apt,169.0,3.0,157.0,1.71,1.0,168.0
Manhattan,West Village,Private room,90.0,3.0,78.0,2.38,1.0,236.0
Brooklyn,Williamsburg,Private room,75.0,2.0,98.0,1.07,2.0,264.0
Brooklyn,Bedford-Stuyvesant,Private room,52.0,2.0,93.0,1.12,2.0,168.0
Manhattan,SoHo,Entire home/apt,250.0,5.0,152.0,1.69,1.0,109.0
Brooklyn,Flatbush,Private room,75.0,2.0,158.0,1.77,1.0,168.0
Brooklyn,Williamsburg,Entire home/apt,180.0,3.0,78.0,2.74,2.0,242.0
Manhattan,East Harlem,Private room,86.0,3.0,78.0,2.44,1.0,250.0
Manhattan,East Village,Private room,89.0,3.0,136.0,1.52,1.0,193.0
Brooklyn,Williamsburg,Entire home/apt,169.0,2.0,78.0,3.6,1.0,168.0
Manhattan,West Village,Private room,120.0,2.0,78.0,1.22,1.0,168.0
Brooklyn,Williamsburg,Private room,75.0,2.0,78.0,2.44,2.0,277.0
Manhattan,Upper East Side,Entire home/apt,219.0,4.0,102.0,1.15,2.0,280.0
Manhattan,Upper West Side,Entire home/apt,179.0,3.0,78.0,3.37,1.0,205.0
Manhattan,Harlem,Private room,125.0,3.0,78.0,2.29,1.0,217.0
Manhattan,Chinatown,Entire home/apt,129.0,3.0,132.0,1.49,1.0,171.0
Manhattan,Midtown,Private room,135.0,3.0,78.0,2.45,2.0,167.0
Brooklyn,Williamsburg,Private room,72.0,3.0,156.0,1.8,1.0,110.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,85.0,5.0,78.0,3.04,2.0,202.0
Manhattan,Midtown,Entire home/apt,250.0,3.0,116.0,1.32,1.0,168.0
Manhattan,Gramercy,Entire home/apt,125.0,3.0,128.0,1.46,2.0,168.0
Manhattan,Hell's Kitchen,Private room,104.0,2.0,133.0,1.51,1.0,147.0
Manhattan,East Village,Entire home/apt,225.0,3.0,93.0,1.05,1.0,168.0
Manhattan,Midtown,Private room,145.0,3.0,165.0,1.88,2.0,181.0
Brooklyn,Williamsburg,Private room,123.0,3.0,78.0,3.09,3.0,158.0
Brooklyn,Windsor Terrace,Entire home/apt,88.0,3.0,78.0,2.75,1.0,217.0
Manhattan,SoHo,Entire home/apt,225.0,3.0,134.0,1.53,1.0,231.0
Manhattan,Nolita,Entire home/apt,225.0,2.0,78.0,2.81,2.0,252.0
Brooklyn,Crown Heights,Entire home/apt,160.0,5.0,125.0,1.47,3.0,169.0
Brooklyn,Park Slope,Entire home/apt,160.0,1.0,145.0,1.76,2.0,257.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,90.0,2.0,78.0,2.4,1.0,236.0
Manhattan,Hell's Kitchen,Private room,99.0,1.0,134.0,1.54,1.0,265.0
Manhattan,Midtown,Entire home/apt,169.0,2.0,78.0,2.25,1.0,207.0
Brooklyn,Clinton Hill,Entire home/apt,150.0,3.0,89.0,1.04,1.0,247.0
Brooklyn,Gowanus,Entire home/apt,138.0,3.0,106.0,1.22,1.0,189.0
Brooklyn,Windsor Terrace,Entire home/apt,142.0,3.0,120.0,1.4,1.0,222.0
Manhattan,Harlem,Private room,65.0,4.0,109.0,1.25,3.0,168.0
Manhattan,West Village,Entire home/apt,174.0,2.0,78.0,3.15,2.0,167.0
Manhattan,East Village,Entire home/apt,210.0,1.0,178.0,2.06,1.0,168.0
Brooklyn,Williamsburg,Private room,55.0,4.0,132.0,1.51,2.0,195.0
Brooklyn,Williamsburg,Entire home/apt,235.0,3.0,108.0,1.25,2.0,144.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,100.0,3.0,78.0,2.15,1.0,220.0
Brooklyn,Crown Heights,Private room,55.0,4.0,101.0,1.19,2.0,170.0
Brooklyn,Williamsburg,Entire home/apt,165.0,3.0,154.0,1.87,1.0,157.0
Manhattan,Harlem,Private room,85.0,1.0,78.0,5.12,2.0,238.0
Manhattan,Kips Bay,Entire home/apt,135.0,3.0,134.0,1.56,1.0,236.0
Brooklyn,Williamsburg,Entire home/apt,225.0,2.0,78.0,3.9,2.0,225.0
Manhattan,Upper West Side,Private room,99.0,3.0,117.0,1.41,1.0,168.0
Manhattan,Lower East Side,Entire home/apt,125.0,1.0,78.0,3.24,1.0,212.0
Manhattan,Civic Center,Entire home/apt,169.0,2.0,78.0,3.78,1.0,112.0
Manhattan,Chinatown,Entire home/apt,150.0,2.0,162.0,1.92,1.0,231.0
Manhattan,Upper West Side,Private room,99.0,1.0,78.0,3.51,1.0,246.0
Brooklyn,South Slope,Entire home/apt,169.0,3.0,116.0,1.37,1.0,203.0
Manhattan,Upper West Side,Entire home/apt,185.0,2.0,165.0,1.92,1.0,259.0
Brooklyn,Crown Heights,Entire home/apt,169.0,2.0,78.0,3.85,1.0,260.0
Queens,Long Island City,Entire home/apt,169.0,2.0,78.0,2.2,1.0,272.0
Manhattan,Harlem,Entire home/apt,90.0,4.0,78.0,3.17,1.0,150.0
Manhattan,Chelsea,Private room,170.0,2.0,78.0,2.19,2.0,254.0
Manhattan,Upper West Side,Private room,93.0,3.0,88.0,1.03,1.0,176.0
Queens,Astoria,Private room,109.0,3.0,78.0,3.7,1.0,168.0
Manhattan,Nolita,Entire home/apt,300.0,3.0,92.0,1.09,1.0,106.0
Manhattan,Chelsea,Entire home/apt,225.0,4.0,153.0,2.03,1.0,205.0
Queens,Ridgewood,Entire home/apt,110.0,5.0,107.0,1.25,1.0,276.0
Manhattan,East Village,Private room,99.0,6.0,80.0,1.01,1.0,168.0
Manhattan,East Village,Entire home/apt,295.0,3.0,85.0,1.02,1.0,261.0
Manhattan,East Village,Entire home/apt,151.0,2.0,78.0,2.53,3.0,256.0
Brooklyn,Crown Heights,Entire home/apt,180.0,2.0,78.0,2.6,1.0,264.0
Brooklyn,Williamsburg,Private room,120.0,2.0,143.0,4.14,1.0,102.0
Brooklyn,Crown Heights,Entire home/apt,195.0,2.0,160.0,1.95,1.0,255.0
Brooklyn,Greenpoint,Entire home/apt,175.0,3.0,102.0,1.23,2.0,215.0
Manhattan,Murray Hill,Entire home/apt,165.0,1.0,78.0,3.93,1.0,185.0
Manhattan,Inwood,Private room,55.0,4.0,142.0,1.68,2.0,179.0
Brooklyn,Brooklyn Heights,Entire home/apt,129.0,1.0,109.0,1.51,1.0,261.0
Manhattan,Upper West Side,Private room,120.0,3.0,107.0,1.29,1.0,144.0
Manhattan,East Village,Entire home/apt,199.0,3.0,78.0,2.95,1.0,142.0
Brooklyn,Williamsburg,Entire home/apt,165.0,2.0,78.0,2.2,1.0,168.0
Brooklyn,Cobble Hill,Private room,120.0,3.0,78.0,3.05,1.0,271.0
Manhattan,Inwood,Private room,60.0,2.0,78.0,3.16,1.0,156.0
Manhattan,Hell's Kitchen,Private room,140.0,2.0,78.0,2.99,1.0,168.0
Manhattan,Gramercy,Private room,65.0,4.0,161.0,1.92,1.0,182.0
Manhattan,Gramercy,Private room,109.0,1.0,78.0,3.89,1.0,276.0
Manhattan,Hell's Kitchen,Entire home/apt,160.0,2.0,83.0,1.01,1.0,105.0
Manhattan,Upper East Side,Private room,79.0,1.0,78.0,4.24,2.0,247.0
Manhattan,Upper West Side,Entire home/apt,197.0,1.0,108.0,1.31,2.0,269.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,75.0,3.0,163.0,1.96,2.0,218.0
Manhattan,Gramercy,Entire home/apt,127.0,3.0,78.0,2.3,1.0,264.0
Manhattan,Kips Bay,Entire home/apt,295.0,4.0,72.0,1.02,1.0,122.0
Brooklyn,Gowanus,Entire home/apt,109.0,3.0,114.0,1.38,2.0,110.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,80.0,3.0,162.0,1.97,2.0,249.0
Manhattan,Upper West Side,Private room,95.0,2.0,78.0,2.54,3.0,126.0
Queens,East Elmhurst,Private room,62.0,1.0,78.0,3.92,2.0,234.0
Manhattan,Upper West Side,Private room,119.0,1.0,96.0,1.16,1.0,168.0
Brooklyn,Fort Greene,Entire home/apt,220.0,1.0,115.0,1.4,2.0,96.0
Brooklyn,Williamsburg,Entire home/apt,198.0,1.0,78.0,3.59,1.0,233.0
Brooklyn,Park Slope,Entire home/apt,169.0,4.0,173.0,2.12,1.0,258.0
Brooklyn,Bushwick,Private room,60.0,2.0,78.0,3.56,2.0,210.0
Brooklyn,Bushwick,Private room,84.0,2.0,138.0,1.69,1.0,225.0
Brooklyn,Fort Greene,Entire home/apt,134.0,2.0,119.0,1.46,1.0,168.0
Manhattan,Upper West Side,Entire home/apt,100.0,3.0,89.0,1.12,1.0,168.0
Brooklyn,Prospect Heights,Private room,78.0,4.0,78.0,2.3,2.0,188.0
Manhattan,SoHo,Entire home/apt,230.0,2.0,27.0,1.4,1.0,101.0
Queens,Woodside,Entire home/apt,120.0,3.0,60.0,1.59,3.0,281.0
Queens,Woodside,Entire home/apt,120.0,3.0,51.0,1.52,3.0,253.0
Brooklyn,Crown Heights,Entire home/apt,168.0,2.0,158.0,1.93,2.0,253.0
Brooklyn,Williamsburg,Private room,65.0,2.0,164.0,2.07,2.0,168.0
Manhattan,Upper East Side,Entire home/apt,200.0,3.0,78.0,2.53,1.0,260.0
Manhattan,Upper West Side,Entire home/apt,155.0,3.0,82.0,1.07,1.0,188.0
Manhattan,West Village,Entire home/apt,169.0,1.0,78.0,2.96,1.0,168.0
Manhattan,Midtown,Entire home/apt,170.0,3.0,83.0,1.04,1.0,203.0
Manhattan,Little Italy,Entire home/apt,199.0,3.0,78.0,2.68,1.0,212.0
Manhattan,Gramercy,Private room,120.0,4.0,132.0,1.62,1.0,267.0
Brooklyn,Williamsburg,Entire home/apt,220.0,3.0,151.0,1.86,1.0,115.0
Manhattan,East Village,Entire home/apt,179.0,4.0,78.0,2.62,1.0,277.0
Brooklyn,Bedford-Stuyvesant,Private room,100.0,1.0,113.0,1.43,1.0,168.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125.0,3.0,104.0,1.36,1.0,275.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,105.0,5.0,78.0,2.79,2.0,234.0
Bronx,Allerton,Entire home/apt,49.0,2.0,78.0,2.32,2.0,238.0
Brooklyn,Flatbush,Private room,70.0,3.0,169.0,3.07,3.0,188.0
Brooklyn,Flatbush,Private room,55.0,3.0,66.0,1.16,3.0,264.0
Brooklyn,Crown Heights,Entire home/apt,82.0,3.0,108.0,1.33,2.0,238.0
Brooklyn,Williamsburg,Private room,115.0,2.0,91.0,1.18,1.0,258.0
Brooklyn,Williamsburg,Entire home/apt,312.0,2.0,78.0,4.18,1.0,246.0
Manhattan,Hell's Kitchen,Entire home/apt,165.0,3.0,78.0,3.44,1.0,146.0
Bronx,Allerton,Private room,38.0,1.0,78.0,2.34,2.0,241.0
Manhattan,Upper East Side,Private room,85.0,2.0,138.0,2.06,1.0,196.0
Queens,Long Island City,Private room,69.0,1.0,153.0,1.89,2.0,132.0
Manhattan,West Village,Entire home/apt,190.0,2.0,78.0,2.3,2.0,168.0
Manhattan,Lower East Side,Entire home/apt,159.0,2.0,78.0,3.58,1.0,141.0
Manhattan,Inwood,Private room,65.0,2.0,93.0,1.16,1.0,168.0
Manhattan,Harlem,Entire home/apt,115.0,3.0,78.0,2.32,1.0,237.0
Manhattan,Harlem,Private room,85.0,1.0,78.0,3.7,2.0,178.0
Queens,Elmhurst,Private room,45.0,3.0,89.0,1.12,3.0,213.0
Queens,Elmhurst,Private room,45.0,3.0,125.0,1.57,3.0,208.0
Manhattan,East Harlem,Private room,95.0,4.0,150.0,1.88,1.0,192.0
Manhattan,Harlem,Entire home/apt,135.0,3.0,78.0,3.19,2.0,184.0
Queens,Sunnyside,Entire home/apt,85.0,2.0,108.0,1.35,1.0,168.0
Brooklyn,Clinton Hill,Entire home/apt,125.0,3.0,124.0,1.56,1.0,158.0
Manhattan,Chelsea,Private room,179.0,2.0,78.0,3.15,1.0,157.0
Brooklyn,Clinton Hill,Private room,60.0,3.0,126.0,3.59,2.0,120.0
Brooklyn,Prospect-Lefferts Gardens,Private room,70.0,1.0,84.0,1.06,1.0,188.0
Brooklyn,Clinton Hill,Entire home/apt,200.0,2.0,78.0,3.37,1.0,266.0
Manhattan,Lower East Side,Private room,99.0,2.0,78.0,3.5,1.0,179.0
Brooklyn,Williamsburg,Private room,80.0,4.0,80.0,1.08,1.0,245.0
Brooklyn,Flatbush,Entire home/apt,130.0,1.0,78.0,2.91,1.0,237.0
Manhattan,Lower East Side,Entire home/apt,145.0,2.0,78.0,2.97,1.0,268.0
Manhattan,Upper East Side,Entire home/apt,160.0,1.0,78.0,2.36,1.0,221.0
Brooklyn,Prospect Heights,Entire home/apt,120.0,5.0,145.0,1.82,1.0,168.0
Brooklyn,Carroll Gardens,Entire home/apt,250.0,2.0,82.0,1.08,1.0,168.0
Brooklyn,Williamsburg,Entire home/apt,145.0,3.0,166.0,2.15,2.0,151.0
Manhattan,Upper West Side,Private room,88.0,1.0,100.0,1.41,3.0,98.0
Manhattan,Harlem,Entire home/apt,125.0,1.0,64.0,1.37,1.0,135.0
Manhattan,Chelsea,Entire home/apt,200.0,2.0,82.0,2.02,3.0,157.0
Bronx,Mount Eden,Private room,30.0,2.0,78.0,3.69,1.0,208.0
Brooklyn,Fort Greene,Entire home/apt,149.0,3.0,86.0,1.1,2.0,125.0
Brooklyn,Clinton Hill,Entire home/apt,170.0,1.0,78.0,4.03,1.0,275.0
Brooklyn,Crown Heights,Entire home/apt,140.0,4.0,125.0,1.6,1.0,239.0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,100.0,6.0,78.0,1.07,1.0,168.0
Manhattan,Hell's Kitchen,Private room,110.0,3.0,78.0,2.79,1.0,281.0
Queens,Flushing,Entire home/apt,81.0,1.0,78.0,4.09,2.0,263.0
Brooklyn,Bushwick,Entire home/apt,139.0,3.0,106.0,1.42,1.0,248.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120.0,2.0,163.0,2.12,1.0,161.0
Brooklyn,Williamsburg,Private room,98.0,3.0,78.0,1.01,1.0,268.0
Queens,Astoria,Private room,47.0,1.0,71.0,1.05,1.0,168.0
Manhattan,West Village,Entire home/apt,150.0,3.0,90.0,1.17,1.0,184.0
Queens,Briarwood,Entire home/apt,63.0,3.0,104.0,1.35,1.0,256.0
Brooklyn,Greenpoint,Entire home/apt,160.0,5.0,152.0,2.1,1.0,281.0
Manhattan,East Village,Entire home/apt,145.0,2.0,157.0,2.03,1.0,221.0
Brooklyn,Park Slope,Private room,70.0,2.0,163.0,2.13,1.0,163.0
Manhattan,Chelsea,Private room,125.0,2.0,153.0,2.17,1.0,161.0
Queens,Briarwood,Entire home/apt,77.0,1.0,78.0,1.02,1.0,168.0
Brooklyn,Bedford-Stuyvesant,Shared room,30.0,5.0,91.0,1.18,3.0,248.0
Queens,Flushing,Private room,76.0,1.0,75.0,1.0,2.0,168.0
Manhattan,Murray Hill,Private room,118.0,3.0,116.0,1.93,1.0,228.0
Manhattan,Harlem,Entire home/apt,140.0,3.0,81.0,1.05,2.0,194.0
